Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-03-31,2.06,2.06,1.65,1.65
2015-06-30,1.65,1.72,1.65,1.72
2015-09-30,1.72,1.73,1.72,1.73
2015-12-31,1.73,1.73,1.72,1.72
2016-03-31,1.72,1.72,1.67,1.67
2016-06-30,1.67,1.71,1.67,1.71
2016-09-30,1.71,1.71,1.71,1.71
2016-12-31,1.71,1.73,1.71,1.73
2017-03-31,1.73,1.73,1.73,1.73
2017-06-30,1.73,1.73,1.73,1.73
2017-09-30,1.73,1.73,1.73,1.73
2017-12-31,1.73,1.73,1.72,1.72
2018-03-31,1.72,1.72,1.7,1.7
2018-06-30,1.7,1.7,1.7,1.7
2018-09-30,1.7,1.72,1.7,1.72
2018-12-31,1.72,1.72,1.72,1.72
2019-03-31,1.72,1.72,1.72,1.72
2019-06-30,1.72,1.72,1.72,1.72
2019-09-30,1.72,1.72,1.72,1.72
2019-12-31,1.72,1.72,1.7,1.71
2020-03-31,1.71,1.71,1.17,1.17
2020-06-30,1.17,1.17,0.26,0.26
2020-09-30,0.26,0.26,0.22,0.22
2020-12-31,0.22,0.22,0.21,0.21
2021-03-31,0.21,0.21,0.21,0.21
2021-06-30,0.21,0.21,0.21,0.21
2021-09-30,0.21,0.24,0.21,0.23
2021-12-31,0.24,2.54,0.24,2.54
2022-03-31,2.56,4.77,2.56,4.77
2022-06-30,4.84,7.05,4.84,7.05
2022-09-30,7.05,7.21,6.99,7.21
2022-12-31,7.28,7.61,7.02,7.02
2023-03-31,7.01,7.01,6.89,6.89
2023-06-30,6.9,6.9,6.89,6.9
2023-09-30,6.9,6.9,5.77,5.77
2023-12-31,5.74,5.88,5.62,5.88
2024-03-31,5.89,5.89,5.85,5.88
2024-06-30,5.86,5.88,5.85,5.85
2024-09-30,5.85,5.87,5.85,5.85
2024-12-31,5.84,5.87,5.82,5.84
2025-03-31,5.82,5.91,5.8,5.84
2025-06-30,5.85,5.85,5.19,5.23
2025-09-30,5.24,5.24,4.72,4.72
2025-12-31,4.7,4.7,3.99,3.99
2026-03-31,3.97,3.98,3.76,3.85
2026-06-30,3.85,3.88,3.83,3.85
2026-09-30,3.85,3.85,3.77,3.84
